,concepts,description,related
0,Octopus,"An octopus (PL: octopuses or octopodes) is a soft-bodied, eight-limbed mollusc of the order Octopoda (, ok-TOP-ə-də). The order consists of some 300 species and is grouped within the class Cephalopoda with squids, cuttlefish, and nautiloids.","Doctor Octopus, Blue-ringed octopus, Giant Pacific octopus, Kraken, Octopus (disambiguation), Octopus Energy, Octopus Group, Octopus card, Common octopus"
1,Cephalopoda,"A cephalopod  is any member of the molluscan class Cephalopoda  (Greek plural κεφαλόποδες, kephalópodes; ""head-feet"") such as a squid, octopus, cuttlefish, or nautilus. These exclusively marine animals are characterized by bilateral body symmetry, a prominent head, and a set of arms or tentacles (muscular hydrostats) modified from the primitive molluscan foot.","Cephalopod, Vampire squid, Common octopus, Grimpoteuthis, Cuttlefish, Cephalopod beak, Octopus, Ammonoidea, Cephalopod attack, Colossal squid"
2,Benthoctopus,Bathypolypus is a genus of octopuses in the monotypic family Bathypolypodidae.,"Bathypolypus, Muusoctopus levis, Cephalopod, Octopus (genus), Octopodoidea, Davidson Seamount, Sasakiopus, Ewald Heinrich Rübsaamen, Iwao Taki"
3,Ctenophora,"Ctenophora (; SG: ctenophore ; from Ancient Greek  κτείς (kteis) 'comb', and  φέρω (pherō) 'to carry') comprise a phylum of marine invertebrates, commonly known as comb jellies, that inhabit sea waters worldwide. They are notable for the groups of cilia they use for swimming (commonly referred to as ""combs""), and they are the largest animals to swim with the help of cilia.","Ctenophora (fly), Ctenophora ornata, Ctenophora festiva, ParaHoxozoa, Ctenophora nubecula, Coelenterata, Animal, Ctenophora elegans, Ctenophora apicata"
4,Decapoda,"The Decapoda or decapods (literally ""ten-footed"") are an order of crustaceans within the class Malacostraca, including many familiar groups, including crabs, lobsters, crayfish, shrimp, and prawns. Most decapods are scavengers.","2018 in arthropod paleontology, Crab, Carcinisation, Terrestrial crab, Caridea, Anomura, Coconut crab, Crustacean, Hermit crab"
5,Eucarida,"Eucarida is a superorder of the Malacostraca, a class of the crustacean subphylum, comprising the decapods, krill, and Angustidontida. They are characterised by having the carapace fused to all thoracic segments, and by the possession of stalked eyes.","Malacostraca, Eumalacostraca, Krill, Multicrustacea, Phylogeny of Malacostraca, Pleocyemata, Dendrobranchiata, Crustacean, Portunidae"
6,"Keratoisidinae ""internodal tentacle""",,
7,Arachnactis,Cerianthus lloydii is a species of tube-dwelling sea anemone in the family Cerianthidae. It is sometimes called the lesser cylinder anemone and is found in shallow seas around the coasts of north west Europe.,"Cerianthus lloydii, Tube-dwelling anemone, Arachnactidae"
8,Medusae,"Jellyfish and sea jellies are the informal common names given to the medusa-phase of certain gelatinous members of the subphylum Medusozoa, a major part of the phylum Cnidaria. Jellyfish are mainly free-swimming marine animals with umbrella-shaped bells and trailing tentacles, although a few are anchored to the seabed by stalks rather than being mobile.","Jellyfish, Caput medusae, Bulbophyllum medusae, Turritopsis dohrnii, Hydrozoa, Aurelia aurita, Caput Medusae, Cnidaria, Astrophytum caput-medusae, Tillandsia caput-medusae"
9,Pteropoda,"Pteropoda (common name pteropods, from the Greek meaning ""wing-foot"") are specialized free-swimming pelagic sea snails and sea slugs, marine opisthobranch gastropods. Most live in the top 10 m of the ocean and are less than 1 cm long.","Sea butterfly, Sea angel, Empis pteropoda, Ananthura pteropoda, Pitcairnia pteropoda, Plankton, Euopisthobranchia, Cymbulioidea, Limacinoidea"
10,Octopoda,"An octopus (PL: octopuses or octopodes) is a soft-bodied, eight-limbed mollusc of the order Octopoda (, ok-TOP-ə-də). The order consists of some 300 species and is grouped within the class Cephalopoda with squids, cuttlefish, and nautiloids.","Octopus, Steve O'Shea, Grimpoteuthis, Coleoidea, Seven-arm octopus, Blue-ringed octopus, Cirrina, Luteuthis dentatus, Grimpoteuthis greeni, Chorion"
11,Abralia,Abralia is a genus of squid comprising around 20 species from the family Enoploteuthidae. They are small squid which can be found in the epipelagic to mesopelagic zones while some species are found in water with shallow substrates on steep slopes on the boundary of the mesopelagic zone.,"Abralia andamanica, Abralia multihamata, Abralia redfieldi, Abralia siedleckyi, Enoploteuthidae, Abralia steindachneri, Midwater squid, Abralia trigonura, Abralia armata"
12,Abraliopsis,Abraliopsis is a genus of squid in the family Enoploteuthidae comprising 11 nominal species. Species are characterised by the presence of photophores on arm pair IV. Suckers are absent from this arm.,"Abraliopsis morisii, Abraliopsis hoylei, Abraliopsis pacificus, Abraliopsis atlantica, Abraliopsis falco, Enoploteuthidae, Abraliopsis lineata, Abraliopsis chuni, Abraliopsis felis"
13,Abraliopsis (Boreabraliopsis) felis,Abraliopsis felis is a species of enoploteuthid cephalopod found in cool temperate water of the north Pacific Ocean. Female oocytes measure 1.5 mm in length.,"Abraliopsis felis, Abraliopsis"
14,Abyssoberyx,"Abyssoberyx is a genus in the pricklefish family containing the single species Abyssoberyx levisquamosus, which is found in the northeast Atlantic Ocean at depths of from 4,480 to 4,565 metres (14,698 to 14,977 ft). This species grows to a length of 16.8 centimetres (6.6 in) SL.","Stephanoberycidae, List of data deficient fishes"
15,Abyssocladia,"Abyssocladia is a genus of the family Cladorhizidae, a family of carnivorous sponges. It is made up of at least 39 species found in oceans all over the world.","Cladorhizidae, Michelle Kelly (marine scientist), Jean Vacelet"
16,Abyssocladia lakwollii,"Abyssocladia is a genus of the family Cladorhizidae, a family of carnivorous sponges. It is made up of at least 39 species found in oceans all over the world.",Abyssocladia
17,Abyssocucumis abyssorum,,
18,Abyssopathes,Schizopathidae is a family of corals belonging to the order Antipatharia.,"Schizopathidae, Black coral"
19,Abyssopathes lyra,,
20,Auloplax,Auloplacidae is a family of sponges belonging to the order Sceptrulophora.Genera:,"Auloplacidae, Takatika Grit"
21,Aulosphaera,Aulosphaera is a genus of Cercozoa. The genus contains bioluminescent species.,"Tuscaridium, Aulosphaeridae, Phaeosphaerida, Phaeodarea, Taxonomy of Protista"
22,Aurelia aurita,"Aurelia aurita (also called the common jellyfish, moon jellyfish, moon jelly or saucer jelly) is a species of the family Ulmaridae. All species in the genus are very similar, and it is difficult to identify Aurelia medusae without genetic sampling; most of what follows applies equally to all species of the genus.","Aurelia (cnidarian), Jellyfish, Aurelia labiata, Aurelia limbata, Scyphozoa, Jellyfish as food, Cyanea (jellyfish), List of animals of Long Island Sound, Cyanea fulva"
23,Austinograea,The Bythograeidae are a small family of blind crabs which live around hydrothermal vents. The family contains 16 species in six genera.,"Bythograeidae, Gandalfus yunohana, Scaly-foot gastropod, Cyanagraea, Woodlark Basin, Symphurus thermophilus, Austin B. Williams"
24,Babamunida,"Babamunida is a genus of squat lobsters in the family Munididae. The genus occurs in the Atlantic, Indian, and Pacific Oceans, with the greatest diversity in the Pacific (8 species).","Babamunida javieri, Babamunida callista, Babamunida hystrix, Babamunida kanaloa, Babamunida brucei, Babamunida debrae, Babamunida plexaura, Galatheoidea, Susan Middleton"
25,Babamunida plexaura,"Babamunida plexaura is a species of squat lobster in the family Munididae. It is found off of Tuamotus and  the Tubuai Islands, at depths between about 350 and 400 metres (1,150 and 1,310 ft).",Babamunida
26,bacterial mat,A biofilm comprises any syntrophic consortium of microorganisms in which cells stick to each other and often also to a surface. These adherent cells become embedded within a slimy extracellular matrix that is composed of extracellular polymeric substances (EPSs).,"Biofilm, Bacteria, Algal mat, Bacterial lawn, Whale fall, Cold seep, Microbial mat, Ichthyosaur, Abiogenic petroleum origin, Flagellum"
